street,street_type,street_name,municipality,province,country,latitude,longitude,geo_source
C/ SANTA MARIA MICAELA,C/,SANTA MARIA MICAELA,Valencia,Valencia,Spain,39.4722878,-0.3908559,nominatim
C/ SANTA RITA,C/,SANTA RITA,Valencia,Valencia,Spain,38.2940713,-0.5870699,nominatim
C/ SANTA TRINITAT,C/,SANTA TRINITAT,Valencia,Valencia,Spain,39.5163559,-0.3771463,nominatim
C/ FRANCESC SEMPERE,C/,FRANCESC SEMPERE,Valencia,Valencia,Spain,39.4608986,-0.3710659,nominatim
C/ SERRANO MORALES,C/,SERRANO MORALES,Valencia,Valencia,Spain,39.4692067,-0.3654259,nominatim
C/ SORNELLS,C/,SORNELLS,Valencia,Valencia,Spain,39.4602913,-0.3714744,nominatim
PL VICENTE IBORRA,PL,VICENTE IBORRA,Valencia,Valencia,Spain,39.4772824,-0.3812775,nominatim
C/ VIDAL DE BLANES,C/,VIDAL DE BLANES,Valencia,Valencia,Spain,39.4597262,-0.3358453,nominatim
C/ VIVONS,C/,VIVONS,Valencia,Valencia,Spain,39.4611619,-0.3716474,nominatim
C/ IÃTOVA,C/,IÃTOVA,Valencia,Valencia,Spain,39.3848761,-0.8085418,nominatim
C/ SABATERS,C/,SABATERS,Valencia,Valencia,Spain,39.2187621,-0.4207764,nominatim
C/ NORMAN BETHUNE (METGE),C/,NORMAN BETHUNE (METGE),Valencia,Valencia,Spain,39.4642258,-0.3973056,nominatim
C/ GUILLEM DESPUIG,C/,GUILLEM DESPUIG,Valencia,Valencia,Spain,39.4649948,-0.3991924,nominatim
C/ POETA DURAN I TORTAJADA,C/,POETA DURAN I TORTAJADA,Valencia,Valencia,Spain,39.2121142,-0.5274604,nominatim
C/ CAROIG,C/,CAROIG,Valencia,Valencia,Spain,39.6651468,-0.2160226,nominatim
C/ SANTA CRUZ DE LA ZARZA,C/,SANTA CRUZ DE LA ZARZA,Valencia,Valencia,Spain,39.4793667,-0.3531734,nominatim
PL ACTOR ENRIQUE RAMBAL,PL,ACTOR ENRIQUE RAMBAL,Valencia,Valencia,Spain,39.4730201,-0.3417663,nominatim
PL BENIMARFULL,PL,BENIMARFULL,Valencia,Valencia,Spain,39.4586245,-0.400983,nominatim
PL CEDRE,PL,CEDRE,Valencia,Valencia,Spain,39.4717522,-0.3474548,nominatim
C/ ALQUERIA DE LA COMTESSA,C/,ALQUERIA DE LA COMTESSA,Valencia,Valencia,Spain,38.933313,-0.1472907,nominatim
C/ BENIGÃNIM,C/,BENIGÃNIM,Valencia,Valencia,Spain,39.4650325,-0.3374523,nominatim
CAMI CANAL,CAMI,CANAL,Valencia,Valencia,Spain,39.4475923,-0.3354277,nominatim
C/ CONSOLAT DE MAR,C/,CONSOLAT DE MAR,Valencia,Valencia,Spain,39.4627819,-0.3714585,nominatim
C/ MESTRE BAGANT,C/,MESTRE BAGANT,Valencia,Valencia,Spain,39.482652,-0.3990923,nominatim
C/ BILBAO,C/,BILBAO,Valencia,Valencia,Spain,38.3438391,-0.4835169,nominatim
C/ CALIXT III,C/,CALIXT III,Valencia,Valencia,Spain,39.4713444,-0.3887914,nominatim
C/ COTANDA,C/,COTANDA,Valencia,Valencia,Spain,39.6987396,-0.719451,nominatim
PL DOCTOR BERENGUER FERRER,PL,DOCTOR BERENGUER FERRER,Valencia,Valencia,Spain,39.466149,-0.4084042,nominatim
C/ ESTEVE BALLESTER,C/,ESTEVE BALLESTER,Valencia,Valencia,Spain,39.472446,-0.3361637,nominatim
C/ FELICITAT,C/,FELICITAT,Valencia,Valencia,Spain,39.4235887,-0.3641208,nominatim
C/ FIDALGO,C/,FIDALGO,Valencia,Valencia,Spain,39.4871505,-0.3870055,nominatim
C/ JOAQUIM BALLESTER,C/,JOAQUIM BALLESTER,Valencia,Valencia,Spain,39.4841127,-0.3874911,nominatim
C/ JOAN AGUILAR,C/,JOAN AGUILAR,Valencia,Valencia,Spain,39.4816493,-0.3962737,nominatim
C/ MESTRE ASENSI,C/,MESTRE ASENSI,Valencia,Valencia,Spain,39.4715263,-0.3954854,nominatim
C/ MATEMÃTIC MARZAL,C/,MATEMÃTIC MARZAL,Valencia,Valencia,Spain,39.4665201,-0.3798431,nominatim
PL GLORIA FUERTES (ESCRIPTORA),PL,GLORIA FUERTES (ESCRIPTORA),Valencia,Valencia,Spain,39.4916449,-0.3706648,nominatim
C/ PERE ALEIXANDRE,C/,PERE ALEIXANDRE,Valencia,Valencia,Spain,39.4600066,-0.3620466,nominatim
PL PORTAL NOU,PL,PORTAL NOU,Valencia,Valencia,Spain,39.4809488,-0.3801364,nominatim
C/ RECREATIU,C/,RECREATIU,Valencia,Valencia,Spain,39.4932264,-0.391618,nominatim
C/ SALUT,C/,SALUT,Valencia,Valencia,Spain,39.9425044,-0.1021965,nominatim
C/ SERRANO FLORES,C/,SERRANO FLORES,Valencia,Valencia,Spain,39.4714076,-0.360768,nominatim
C/ SILLA,C/,SILLA,Valencia,Valencia,Spain,39.5242367,-0.43476,nominatim
C/ SALVADOR SALOM,C/,SALVADOR SALOM,Valencia,Valencia,Spain,39.470504,-0.4105544,nominatim
C/ ILLA DE SARDENYA,C/,ILLA DE SARDENYA,Valencia,Valencia,Spain,39.6637458,-0.2115749,nominatim
C/ REMIGIO SOLER TOMÃS (PINTOR),C/,REMIGIO SOLER TOMÃS (PINTOR),Valencia,Valencia,Spain,39.4362649,-0.3941301,nominatim
C/ LLAURADORS,C/,LLAURADORS,Valencia,Valencia,Spain,38.4049266,-1.0400232,nominatim
C/ JESUS MARTINEZ GUERRICABEITIA (COL.LECCIONISTA),C/,JESUS MARTINEZ GUERRICABEITIA (COL.LECCIONISTA),Valencia,Valencia,Spain,39.4759911,-0.3388325,nominatim
C/ CREU ROJA,C/,CREU ROJA,Valencia,Valencia,Spain,38.2680321,-0.6908353,nominatim
C/ DEGÃ RAMON ARNAU,C/,DEGÃ RAMON ARNAU,Valencia,Valencia,Spain,39.4814887,-0.3862038,nominatim
AV JOSE ROCA COLL (PIANISTA),AV,JOSE ROCA COLL (PIANISTA),Valencia,Valencia,Spain,39.4576284,-0.3969752,nominatim
C/ ABADIA DEL ROSARI,C/,ABADIA DEL ROSARI,Valencia,Valencia,Spain,39.4644124,-0.3320384,nominatim
C/ BENIMUSLEM,C/,BENIMUSLEM,Valencia,Valencia,Spain,39.1536819,-0.4329074,nominatim
C/ ALARCON,C/,ALARCON,Valencia,Valencia,Spain,39.5544425,-0.5276411,nominatim
C/ BORRIOL,C/,BORRIOL,Valencia,Valencia,Spain,39.9881525,-0.0488343,nominatim
C/ CALDERERS,C/,CALDERERS,Valencia,Valencia,Spain,39.4403123,-0.486933,nominatim
C/ CAPITULAR DE GANDIA,C/,CAPITULAR DE GANDIA,Valencia,Valencia,Spain,39.4482152,-0.3864232,nominatim
C/ CARLES,C/,CARLES,Valencia,Valencia,Spain,39.4675823,-0.3595463,nominatim
PL CARME,PL,CARME,Valencia,Valencia,Spain,39.4791278,-0.3783901,nominatim
C/ ALBUFERA,C/,ALBUFERA,Valencia,Valencia,Spain,39.3116538,-0.3174432,nominatim
C/ ALBUIXECH,C/,ALBUIXECH,Valencia,Valencia,Spain,39.5442852,-0.3247783,nominatim
C/ CASTELL DE CULLERA,C/,CASTELL DE CULLERA,Valencia,Valencia,Spain,39.4347444,-0.392667,nominatim
C/ ABEN AL-ABBAR,C/,ABEN AL-ABBAR,Valencia,Valencia,Spain,39.4689437,-0.3518332,nominatim
C/ COVARRUBIAS,C/,COVARRUBIAS,Valencia,Valencia,Spain,39.477664,-0.3770582,nominatim
C/ CREU NOVA,C/,CREU NOVA,Valencia,Valencia,Spain,39.472997,-0.3733074,nominatim
C/ QUARTELL,C/,QUARTELL,Valencia,Valencia,Spain,39.6820533,-0.279576,nominatim
C/ COVA SANTA,C/,COVA SANTA,Valencia,Valencia,Spain,38.8215433,-0.3770245,nominatim
C/ XILXES,C/,XILXES,Valencia,Valencia,Spain,39.9436341,-0.1090575,nominatim
C/ AMISTAT,C/,AMISTAT,Valencia,Valencia,Spain,38.4615145,-0.4301243,nominatim
C/ HOSTALERS,C/,HOSTALERS,Valencia,Valencia,Spain,39.4603879,-0.4049824,nominatim
C/ SEDERS,C/,SEDERS,Valencia,Valencia,Spain,39.462863,-0.4068322,nominatim
C/ DOCTOR FLEMING,C/,DOCTOR FLEMING,Valencia,Valencia,Spain,39.4837893,-1.3564976,nominatim
C/ DOCTOR ROYO VILANOVA,C/,DOCTOR ROYO VILANOVA,Valencia,Valencia,Spain,39.443454,-0.3916351,nominatim
C/ DOCTOR SERRANO,C/,DOCTOR SERRANO,Valencia,Valencia,Spain,39.4626189,-0.3734224,nominatim
C/ DUC DE MANDAS,C/,DUC DE MANDAS,Valencia,Valencia,Spain,39.4911224,-0.3660266,nominatim
PL GRECO,PL,GRECO,Valencia,Valencia,Spain,37.9782754,-0.6914594,nominatim
C/ EN SALA,C/,EN SALA,Valencia,Valencia,Spain,39.4730377,-0.3736813,nominatim
C/ ENRIC GASPAR,C/,ENRIC GASPAR,Valencia,Valencia,Spain,39.4846216,-0.3871484,nominatim
PL ESCULTOR PASTOR,PL,ESCULTOR PASTOR,Valencia,Valencia,Spain,39.4442109,-0.3671369,nominatim
C/ ESCULTOR SALZILLO,C/,ESCULTOR SALZILLO,Valencia,Valencia,Spain,39.4657404,-0.4091184,nominatim
C/ EIXARCHS,C/,EIXARCHS,Valencia,Valencia,Spain,39.4744236,-0.3804747,nominatim
PL FERRAN FERRANDO,PL,FERRAN FERRANDO,Valencia,Valencia,Spain,39.4672781,-0.4040499,nominatim
C/ FLOR DE MAYO,C/,FLOR DE MAYO,Valencia,Valencia,Spain,39.443286,-0.3674842,nominatim
C/ FRANCESC DE LLANO,C/,FRANCESC DE LLANO,Valencia,Valencia,Spain,39.468764,-0.3725047,nominatim
C/ GENERAL GIL DOLZ,C/,GENERAL GIL DOLZ,Valencia,Valencia,Spain,39.5008169,-0.4348984,nominatim
C/ GUILLEM DE CASTRO,C/,GUILLEM DE CASTRO,Valencia,Valencia,Spain,39.5495559,-0.4542747,nominatim
C/ HAVANA,C/,HAVANA,Valencia,Valencia,Spain,39.4649709,-0.4072257,nominatim
C/ OSCA,C/,OSCA,Valencia,Valencia,Spain,39.4692272,-0.3804768,nominatim
C/ ENGINYER LA CIERVA,C/,ENGINYER LA CIERVA,Valencia,Valencia,Spain,39.4883893,-0.3849237,nominatim
C/ ISAAC PERAL,C/,ISAAC PERAL,Valencia,Valencia,Spain,39.9846464,-0.0377767,nominatim
C/ ITÃLICA,C/,ITÃLICA,Valencia,Valencia,Spain,39.4727649,-0.3782662,nominatim
C/ JOVELLANOS,C/,JOVELLANOS,Valencia,Valencia,Spain,39.9909556,-0.0406483,nominatim
C/ JUAN DE GARAY,C/,JUAN DE GARAY,Valencia,Valencia,Spain,38.363722,-0.4775866,nominatim
C/ PREVISORA,C/,PREVISORA,Valencia,Valencia,Spain,39.4538204,-0.3874668,nominatim
C/ VENTS,C/,VENTS,Valencia,Valencia,Spain,39.6683548,-0.2188888,nominatim
C/ LUZ CASANOVA,C/,LUZ CASANOVA,Valencia,Valencia,Spain,39.4888576,-0.3731548,nominatim
C/ FUSTA,C/,FUSTA,Valencia,Valencia,Spain,38.8061137,-0.4131656,nominatim
C/ MARE TERESA JORNET,C/,MARE TERESA JORNET,Valencia,Valencia,Spain,39.4817511,-0.3740537,nominatim
C/ MAJOR DE NATZARET,C/,MAJOR DE NATZARET,Valencia,Valencia,Spain,39.4504779,-0.3340473,nominatim
C/ MONTAVERNER,C/,MONTAVERNER,Valencia,Valencia,Spain,38.8879955,-0.4932477,nominatim
C/ MONTROI,C/,MONTROI,Valencia,Valencia,Spain,39.1955326,-0.4256895,nominatim
C/ NEUS,C/,NEUS,Valencia,Valencia,Spain,38.3084479,-0.8520387,nominatim
C/ NORD,C/,NORD,Valencia,Valencia,Spain,39.6156747,-0.3062319,nominatim
C/ OTUMBA,C/,OTUMBA,Valencia,Valencia,Spain,39.4644353,-0.323003,nominatim
C/ PEGO,C/,PEGO,Valencia,Valencia,Spain,38.3295485,-0.5112867,nominatim
C/ ANNA,C/,ANNA,Valencia,Valencia,Spain,39.0204311,-0.6461361,nominatim
PG ALBEREDA,PG,ALBEREDA,Valencia,Valencia,Spain,39.4750515,-0.3659989,nominatim
C/ PINTOR STOLZ,C/,PINTOR STOLZ,Valencia,Valencia,Spain,39.4699524,-0.4022821,nominatim
C/ ARGENTER SUÃREZ,C/,ARGENTER SUÃREZ,Valencia,Valencia,Spain,39.4852,-0.3722568,nominatim
C/ POETA FERNÃNDEZ HEREDIA,C/,POETA FERNÃNDEZ HEREDIA,Valencia,Valencia,Spain,39.4865948,-0.3799582,nominatim
C/ POU,C/,POU,Valencia,Valencia,Spain,39.0061992,-0.2822166,nominatim
C/ POBLA DEL DUC,C/,POBLA DEL DUC,Valencia,Valencia,Spain,38.9740788,-0.141283,nominatim
PL RODRIGO BOTET,PL,RODRIGO BOTET,Valencia,Valencia,Spain,39.4714517,-0.3753091,nominatim
C/ SALAMANCA,C/,SALAMANCA,Valencia,Valencia,Spain,38.5436141,-0.1344922,nominatim
C/ SALVADOR GINER,C/,SALVADOR GINER,Valencia,Valencia,Spain,39.5173524,-0.4076769,nominatim
C/ SALVADOR PERLES,C/,SALVADOR PERLES,Valencia,Valencia,Spain,39.4425402,-0.3898366,nominatim
C/ SEGART,C/,SEGART,Valencia,Valencia,Spain,39.6811474,-0.2850134,nominatim
C/ STELLA MARIS,C/,STELLA MARIS,Valencia,Valencia,Spain,39.4521175,-0.3330996,nominatim
C/ TRES FORQUES,C/,TRES FORQUES,Valencia,Valencia,Spain,40.3765674,-0.1388039,nominatim
C/ BAEZA,C/,BAEZA,Valencia,Valencia,Spain,39.4933519,-0.3724079,nominatim
C/ HORT DE VEIRAT,C/,HORT DE VEIRAT,Valencia,Valencia,Spain,39.4715559,-0.3562318,nominatim
C/ IMPRESSOR LAMBERT PALMART,C/,IMPRESSOR LAMBERT PALMART,Valencia,Valencia,Spain,39.4716145,-0.3447772,nominatim
AV FIRES,AV,FIRES,Valencia,Valencia,Spain,39.5051116,-0.4247402,nominatim
C/ ACTRIU PEPITA SERRADOR,C/,ACTRIU PEPITA SERRADOR,Valencia,Valencia,Spain,39.4537215,-0.368032,nominatim
C/ DIBUIXANT MANUEL GAGO,C/,DIBUIXANT MANUEL GAGO,Valencia,Valencia,Spain,39.4622186,-0.391032,nominatim
C/ HUMANISTA MARINER,C/,HUMANISTA MARINER,Valencia,Valencia,Spain,39.4586519,-0.3960759,nominatim
C/ GUILLEM D'ANGLESOLA,C/,GUILLEM D'ANGLESOLA,Valencia,Valencia,Spain,39.4651499,-0.3455058,nominatim
C/ FINESTRAT,C/,FINESTRAT,Valencia,Valencia,Spain,38.3630756,-0.480933,nominatim
C/ EN RODA,C/,EN RODA,Valencia,Valencia,Spain,39.478812,-0.3773011,nominatim
C/ EDUARD BOSCÃ,C/,EDUARD BOSCÃ,Valencia,Valencia,Spain,39.4655386,-0.3573094,nominatim
C/ SALZE,C/,SALZE,Valencia,Valencia,Spain,38.7057949,-0.5205937,nominatim
CV XIRIVELLA,CV,XIRIVELLA,Valencia,Valencia,Spain,39.4638419,-0.4478105,nominatim
C/ CREU,C/,CREU,Valencia,Valencia,Spain,39.4733756,-0.3809331,nominatim
C/ CLERO,C/,CLERO,Valencia,Valencia,Spain,39.4630442,-0.3729431,nominatim
PL CERAMISTA GIMENO,PL,CERAMISTA GIMENO,Valencia,Valencia,Spain,39.4553767,-0.3786922,nominatim
ENTD CASA DE SANTAPAU,ENTD,CASA DE SANTAPAU,Valencia,Valencia,Spain,39.4501581,-0.3752658,nominatim
CAMI CASES DE BÃRCENA,CAMI,CASES DE BÃRCENA,Valencia,Valencia,Spain,39.5202431,-0.3560257,nominatim
PL BENICALAP,PL,BENICALAP,Valencia,Valencia,Spain,39.4930023,-0.3916148,nominatim
C/ JOAN BAPTISTA LLOVERA,C/,JOAN BAPTISTA LLOVERA,Valencia,Valencia,Spain,39.4601194,-0.3353522,nominatim
C/ JOAQUIM COSTA,C/,JOAQUIM COSTA,Valencia,Valencia,Spain,39.4637031,-0.3654708,nominatim
PTGE DOCTOR SERRA,PTGE,DOCTOR SERRA,Valencia,Valencia,Spain,39.4664204,-0.3755188,nominatim
C/ BONAIRE,C/,BONAIRE,Valencia,Valencia,Spain,39.1538629,-0.4115347,nominatim
C/ BALLESTERS,C/,BALLESTERS,Valencia,Valencia,Spain,39.4711297,-0.3746872,nominatim
C/ ASSAGADOR DE LA TORRE,C/,ASSAGADOR DE LA TORRE,Valencia,Valencia,Spain,39.4319543,-0.3847989,nominatim
C/ ARQUITECTE TOLSÃ,C/,ARQUITECTE TOLSÃ,Valencia,Valencia,Spain,39.4920552,-0.3655597,nominatim
C/ APARISI I GUIJARRO,C/,APARISI I GUIJARRO,Valencia,Valencia,Spain,38.9664529,-0.1845453,nominatim
C/ ALQUERIES DE BELLVER,C/,ALQUERIES DE BELLVER,Valencia,Valencia,Spain,39.4934543,-0.3963137,nominatim
C/ ALMUDAINA,C/,ALMUDAINA,Valencia,Valencia,Spain,39.453576,-0.3831039,nominatim
C/ ADOR,C/,ADOR,Valencia,Valencia,Spain,38.9645651,-0.1836283,nominatim
C/ NUMERO CINCO,C/,NUMERO CINCO,Valencia,Valencia,Spain,38.0589913,-0.7061956,nominatim
C/ RIBERA BAIXA,C/,RIBERA BAIXA,Valencia,Valencia,Spain,39.196404,-0.4308536,nominatim
C/ NUMERO CUATRO,C/,NUMERO CUATRO,Valencia,Valencia,Spain,38.0578833,-0.7083583,nominatim
C/ PG NUM.123,C/,PG NUM.123,Valencia,Valencia,Spain,39.5007582,-0.3428688,nominatim
C/ MATILDE SALVADOR,C/,MATILDE SALVADOR,Valencia,Valencia,Spain,39.4649471,-0.4380361,nominatim
C/ MESTRE ESTEBAN CATALÃ,C/,MESTRE ESTEBAN CATALÃ,Valencia,Valencia,Spain,39.4817741,-0.3608662,nominatim
C/ SANTA JULIA,C/,SANTA JULIA,Valencia,Valencia,Spain,38.3403357,-1.0001303,nominatim
C/ PENYAGOLOSA,C/,PENYAGOLOSA,Valencia,Valencia,Spain,40.08905,0.1347569,nominatim
C/ MIGDIA,C/,MIGDIA,Valencia,Valencia,Spain,38.1465314,-0.6445449,nominatim
C/ DEL MILLARS,C/,DEL MILLARS,Valencia,Valencia,Spain,39.9417311,-0.0674015,nominatim
C/ JULIO ANTONIO,C/,JULIO ANTONIO,Valencia,Valencia,Spain,38.3569591,-0.4825515,nominatim
C/ LLUMS,C/,LLUMS,Valencia,Valencia,Spain,39.9981097,0.0175272,nominatim
C/ GERANIS,C/,GERANIS,Valencia,Valencia,Spain,39.6331403,-0.5629731,nominatim
C/ POBLET,C/,POBLET,Valencia,Valencia,Spain,39.4827253,-0.4438854,nominatim
C/ ÃNGEL GUIMERÃ,C/,ÃNGEL GUIMERÃ,Valencia,Valencia,Spain,39.4695656,-0.3885642,nominatim
C/ ARTESANOS,C/,ARTESANOS,Valencia,Valencia,Spain,38.4068223,-0.5426613,nominatim
C/ PENYETES,C/,PENYETES,Valencia,Valencia,Spain,39.6733304,-0.3244568,nominatim
C/ LINARES,C/,LINARES,Valencia,Valencia,Spain,39.4685993,-0.3936545,nominatim
C/ MADRINA,C/,MADRINA,Valencia,Valencia,Spain,39.4719226,-0.3789271,nominatim
CTRA MALILLA,CTRA,MALILLA,Valencia,Valencia,Spain,39.4544067,-0.3781636,nominatim
C/ MARQUESA DE PATERNA DEL CAMPO,C/,MARQUESA DE PATERNA DEL CAMPO,Valencia,Valencia,Spain,39.4999513,-0.3913529,nominatim
C/ METGE ESTEVE,C/,METGE ESTEVE,Valencia,Valencia,Spain,39.4570999,-0.3843945,nominatim
C/ OTOS,C/,OTOS,Valencia,Valencia,Spain,38.797622,0.1808619,nominatim
PL PARC DE MONTOLIVET,PL,PARC DE MONTOLIVET,Valencia,Valencia,Spain,39.4581264,-0.3650052,nominatim
C/ PERFECTE,C/,PERFECTE,Valencia,Valencia,Spain,39.457562,-0.3688818,nominatim
C/ PIUS XI,C/,PIUS XI,Valencia,Valencia,Spain,39.4585553,-0.3937047,nominatim
C/ REUS,C/,REUS,Valencia,Valencia,Spain,39.4858031,-0.3818057,nominatim
CAMI RIBÃS,CAMI,RIBÃS,Valencia,Valencia,Spain,39.4308834,-0.3599165,nominatim
C/ ARABISTA AMBROSIO HUICI,C/,ARABISTA AMBROSIO HUICI,Valencia,Valencia,Spain,39.4548715,-0.3641927,nominatim
C/ ALBALAT DELS TARONGERS,C/,ALBALAT DELS TARONGERS,Valencia,Valencia,Spain,39.7028908,-0.3371981,nominatim
CAMI COSSA,CAMI,COSSA,Valencia,Valencia,Spain,39.5390094,-0.4110674,nominatim
C/ MARE PETRA (RELIGIOSA),C/,MARE PETRA (RELIGIOSA),Valencia,Valencia,Spain,39.4573574,-0.3904785,nominatim
C/ JOSEP D'ORGA,C/,JOSEP D'ORGA,Valencia,Valencia,Spain,39.4709911,-0.3446153,nominatim
C/ FOC,C/,FOC,Valencia,Valencia,Spain,39.5003046,-0.3941078,nominatim
C/ ESCOTILLA,C/,ESCOTILLA,Valencia,Valencia,Spain,38.2721729,-0.5320539,nominatim
C/ FILIPINES,C/,FILIPINES,Valencia,Valencia,Spain,39.6640695,-0.2381994,nominatim
ENTD LINO,ENTD,LINO,Valencia,Valencia,Spain,39.4466653,-0.3404014,nominatim
C/ MISSER RABASSA,C/,MISSER RABASSA,Valencia,Valencia,Spain,39.45717,-0.3887388,nominatim
C/ RIU BIDASOA,C/,RIU BIDASOA,Valencia,Valencia,Spain,38.6875734,0.1137837,nominatim
C/ RUBIOLS,C/,RUBIOLS,Valencia,Valencia,Spain,39.4591102,-0.3852254,nominatim
C/ SANT ANDREU,C/,SANT ANDREU,Valencia,Valencia,Spain,38.8423603,0.102849,nominatim
C/ SELLENT,C/,SELLENT,Valencia,Valencia,Spain,39.493399,-0.3681387,nominatim
PL VICARI FERRER,PL,VICARI FERRER,Valencia,Valencia,Spain,39.4493441,-0.3858444,nominatim
C/ ANTONI REIG I VENTURA (ROVELLET),C/,ANTONI REIG I VENTURA (ROVELLET),Valencia,Valencia,Spain,39.4827477,-0.4056977,nominatim
C/ BENICOLET,C/,BENICOLET,Valencia,Valencia,Spain,38.7004284,0.1194605,nominatim
C/ BERNARDO PRIETO,C/,BERNARDO PRIETO,Valencia,Valencia,Spain,39.4974631,-0.4168487,nominatim
